swiftui_view,uikit_view,example
Button,UIButton,ButtonExampleView
DatePicker,UIDatePicker,DatePickerExampleView
EditButton,,EditButtonExampleView
Form,,ContactFormView
Image,UIImageView,ImageExampleView
List,UITableView,ListExampleView
NavigationView,UINavigationController,NavigationViewExample
Picker,UIPickerView,PickerExampleView
ScrollView,UIScrollView,ScrollViewExample
Section,,ContactFormView
SecureField,UITextField,TextFieldExampleView
Slider,UISlider,SliderExampleView
Stepper,UIStepper,StepperExampleView
TabView,UITabBarController,MainView
Text,UILabel,TextExampleView
TextField,UITextField,TextFieldExampleView
Toggle,UISwitch,ToggleExampleView
